"Company_Name","Address","Revenue"
"CENTRAL PRE-MIX CONCRETE PTY. LTD.","Campbellfield,Victoria Australia","$142.62M"
"AGRIUM SOUTH PACIFIC PTY LIMITED","Docklands,Victoria Australia","$141.45M"
"AGRIUM ASIA PACIFIC RISKASSIST LIMITED","Docklands,Victoria Australia","$141.45M"
"OCEANIA GLASS PTY LTD","Cranbourne West,Victoria Australia","$141.11M"
"BWX LIMITED","Clayton,Victoria Australia","$140.82M"
"LIFE-SPACE GROUP PTY LTD","Clayton,Victoria Australia","$140.74M"
"EVOLUTION HEALTH PTY. LTD.","Clayton,Victoria Australia","$140.06M"
"PROBIOTEC PTY LTD","Laverton North,Victoria Australia","$139.95M"
"AUSTRALIAN SURFACE TECHNOLOGIES PTY LTD","Dandenong South,Victoria Australia","$139.2M"
"ESSO AUSTRALIA PTY LTD","Docklands,Victoria Australia","$139.11M"
"SIEMENS GAMESA RENEWABLE ENERGY PTY LTD","Burnley,Victoria Australia","$139.08M"
"RIVIANA FOODS PTY. LTD.","Chadstone,Victoria Australia","$138.93M"
"PEARSON AUSTRALIA HOLDINGS PTY LTD","Melbourne,Victoria Australia","$137.65M"
"CSL BEHRING (AUSTRALIA) PTY LTD","Broadmeadows,Victoria Australia","$137.5M"
"METROLL VICTORIA PTY LIMITED","Preston,Victoria Australia","$136.27M"
"FLUICONNECTO RYCO AUSTRALIA PTY LTD","Derrimut,Victoria Australia","$134.81M"
"CROPLANDS EQUIPMENT PTY LTD","Dry Creek,South Australia Australia","$134.14M"
"SCHIAVELLO PTY LTD","Tullamarine,Victoria Australia","$133.99M"
"CATERPILLAR OF AUSTRALIA PTY LTD","Tullamarine,Victoria Australia","$133.83M"
"JAMESTRONG AUSTRALASIA HOLDINGS PTY LTD","Richmond,Victoria Australia","$133.65M"
"SELECT HARVESTS LIMITED","Richmond,Victoria Australia","$133.1M"
"L3HARRIS AUSTRALIA FINANCE PTY LIMITED","Turner,Australian Capital Territory Australia","$132.67M"
"MAXIPARTS LIMITED","Truganina,Victoria Australia","$131.88M"
"VISY BOARD (WODONGA) PTY. LTD.","Southbank,Victoria Australia","$130.7M"
"LES CREUX AUSTRALIA PTY LTD","Dandenong South,Victoria Australia","$129.83M"
"BLUESCOPE STEEL (FINANCE) LIMITED","Melbourne,Victoria Australia","$129.76M"
"JA SOLAR AUSTRALIA PTY LIMITED","Dandenong,Victoria Australia","$129.21M"
"CSL INNOVATION PTY LTD","Melbourne,Victoria Australia","$128.61M"
